candidate_id,candidate_name,final_score,semantic_score,skill_score,behavioral_score,career_score,achievement_score,rank,recommendation_reason
CAND_0000021,Rahul Joshi,49.698867101469304,0.6709646046161651,0.249,0.3075,0.9,0.0128,1,"Project Manager with 14.5 yrs; 2 AI/ML-related skills; response rate 0.49; missing: retrieval, ranking"
CAND_0000010,Aarav Kapoor,48.455785596079295,0.6813049852848053,0.2175,0.5974999999999999,0.5,0.1674,2,"Data Engineer with 4.6 yrs; 2 AI/ML-related skills; response rate 0.40; missing: embeddings, retrieval"
CAND_0000045,Vikram Mittal,46.772509975863834,0.5808567583560944,0.0,0.555,0.8,0.25,3,"Project Manager with 12.2 yrs; 1 AI/ML-related skills; response rate 0.62; missing: embeddings, retrieval"
CAND_0000031,Ela Singh,45.54618393091361,0.7059346079826354,0.21375,0.8225,0.2,0.11520000000000001,4,"Recommendation Systems Engineer with 6.0 yrs; 5 AI/ML-related skills; response rate 0.91; missing: ranking, llm"
CAND_0000014,Atharv Joshi,45.276892044146855,0.6755302488803864,0.1,0.5800000000000001,0.3,0.0,5,"Frontend Engineer with 8.4 yrs; 2 AI/ML-related skills; response rate 0.80; missing: embeddings, retrieval"
CAND_0000032,Pranav Agarwal,44.01782217401266,0.6801125824451446,0.305,0.44500000000000006,0.1,0.0,6,".NET Developer with 8.1 yrs; 2 AI/ML-related skills; response rate 0.69; missing: retrieval, ranking"
CAND_0000001,Ira Vora,43.67982654515903,0.6864045679569245,0.1915,0.6475000000000001,0.1,0.0184,7,"Backend Engineer with 6.9 yrs; 2 AI/ML-related skills; response rate 0.34; missing: embeddings, retrieval"
CAND_0000048,Vihaan Saxena,41.36337559885449,0.6200646996498108,0.0,0.6050000000000001,0.2,0.1,8,"Mobile Developer with 9.7 yrs; 0 AI/ML-related skills; response rate 0.65; missing: embeddings, retrieval"
CAND_0000025,Anika Kumar,41.142829847998094,0.6551919639110565,0.0,0.76,0.1,0.1,9,"Frontend Engineer with 7.3 yrs; 2 AI/ML-related skills; response rate 0.74; missing: embeddings, retrieval"
CAND_0000041,Anjali Khanna,40.68271889441544,0.5743745684623719,0.0,0.4,0.7,0.05,10,"Operations Manager with 13.7 yrs; 1 AI/ML-related skills; response rate 0.07; missing: embeddings, retrieval"
CAND_0000050,Naina Bose,40.09039889478684,0.6364646434783936,0.0,0.3425,0.5,0.13940000000000002,11,"Business Analyst with 13.5 yrs; 1 AI/ML-related skills; response rate 0.42; missing: embeddings, retrieval"
CAND_0000046,Dev Nair,40.05959302512805,0.6082452535629272,0.0,0.5325,0.3,0.09179999999999999,12,"Mechanical Engineer with 7.8 yrs; 0 AI/ML-related skills; response rate 0.41; missing: embeddings, retrieval"
CAND_0000043,Aarav Sen,39.59833946545257,0.6984338223934173,0.1825,0.32000000000000006,0.1,0.0,13,"Cloud Engineer with 8.3 yrs; 2 AI/ML-related skills; response rate 0.04; missing: embeddings, retrieval"
CAND_0000038,Myra Trivedi,39.44647739770677,0.6748866558074951,0.0,0.6124999999999999,0.1,0.07559999999999999,14,"Java Developer with 6.7 yrs; 1 AI/ML-related skills; response rate 0.20; missing: embeddings, retrieval"
